Teste;Algoritmo;Tamanho_Base;Tamanho_Procurada;Casa_Casamento;Tempo_Execucao_ms;Numero_Comparacoes;Houve_Casamento
1;Força Bruta;100000;8;14627;2,35;19593;Sim
2;Força Bruta;100000;8;40740;5,25;54218;Sim
3;Força Bruta;100000;8;68890;2,02;91776;Sim
4;Força Bruta;100000;8;10900;0,36;14619;Sim
5;Força Bruta;100000;8;49933;1,45;66678;Sim
6;Força Bruta;100000;8;69840;0,68;93119;Sim
7;Força Bruta;100000;8;86192;2,16;114688;Sim
8;Força Bruta;100000;8;19336;0,14;25919;Sim
9;Força Bruta;100000;8;53669;0,32;71138;Sim
10;Força Bruta;100000;8;12709;0,08;17056;Sim
11;Força Bruta;100000;10;-1;0,64;133001;Não
12;Força Bruta;100000;10;-1;3,25;133131;Não
13;Força Bruta;100000;10;-1;2,47;133065;Não
14;Força Bruta;100000;10;-1;1,00;133341;Não
15;Força Bruta;100000;10;-1;1,52;133435;Não
16;Força Bruta;100000;10;-1;1,51;133348;Não
17;Força Bruta;100000;10;-1;1,37;133093;Não
18;Força Bruta;100000;10;-1;0,61;133184;Não
19;Força Bruta;100000;10;-1;0,83;132694;Não
20;Força Bruta;100000;10;-1;0,89;133469;Não
21;Força Bruta;100000;12;-1;0,54;132999;Não
22;Força Bruta;100000;12;-1;0,54;133129;Não
23;Força Bruta;100000;12;-1;0,55;133062;Não
24;Força Bruta;100000;12;-1;0,60;133339;Não
25;Força Bruta;100000;12;-1;0,59;133433;Não
26;Força Bruta;100000;12;-1;0,61;133346;Não
27;Força Bruta;100000;12;-1;0,58;133090;Não
28;Força Bruta;100000;12;-1;0,59;133182;Não
29;Força Bruta;100000;12;-1;0,71;132691;Não
30;Força Bruta;100000;12;-1;0,60;133467;Não
31;Força Bruta;100000;15;-1;0,54;132995;Não
32;Força Bruta;100000;15;-1;0,54;133126;Não
33;Força Bruta;100000;15;-1;0,55;133058;Não
34;Força Bruta;100000;15;-1;0,67;133335;Não
35;Força Bruta;100000;15;-1;0,68;133430;Não
36;Força Bruta;100000;15;-1;0,60;133342;Não
37;Força Bruta;100000;15;-1;0,58;133085;Não
38;Força Bruta;100000;15;-1;0,59;133179;Não
39;Força Bruta;100000;15;-1;0,58;132688;Não
40;Força Bruta;100000;15;-1;0,59;133460;Não
