Teste,Tamanho_Base,Tamanho_Procurada,Casa_Casamento,Tempo_Execucao_ms,Numero_Comparacoes,Houve_Casamento
1,100000,8,14627,2,22,19593,Sim
2,100000,8,40740,5,71,54218,Sim
3,100000,8,68890,1,96,91776,Sim
4,100000,8,10900,0,30,14619,Sim
5,100000,8,49933,1,44,66678,Sim
6,100000,8,69840,0,74,93119,Sim
7,100000,8,86192,1,98,114688,Sim
8,100000,8,19336,0,13,25919,Sim
9,100000,8,53669,0,32,71138,Sim
10,100000,8,12709,0,08,17056,Sim
11,100000,10,-1,0,61,133001,Não
12,100000,10,-1,2,44,133131,Não
13,100000,10,-1,1,98,133065,Não
14,100000,10,-1,1,07,133341,Não
15,100000,10,-1,0,97,133435,Não
16,100000,10,-1,0,76,133348,Não
17,100000,10,-1,0,73,133093,Não
18,100000,10,-1,0,61,133184,Não
19,100000,10,-1,0,58,132694,Não
20,100000,10,-1,0,60,133469,Não
21,100000,12,-1,0,56,132999,Não
22,100000,12,-1,0,60,133129,Não
23,100000,12,-1,0,55,133062,Não
24,100000,12,-1,0,63,133339,Não
25,100000,12,-1,0,62,133433,Não
26,100000,12,-1,0,63,133346,Não
27,100000,12,-1,0,59,133090,Não
28,100000,12,-1,0,63,133182,Não
29,100000,12,-1,0,63,132691,Não
30,100000,12,-1,0,60,133467,Não
31,100000,15,-1,0,61,132995,Não
32,100000,15,-1,0,54,133126,Não
33,100000,15,-1,0,54,133058,Não
34,100000,15,-1,0,64,133335,Não
35,100000,15,-1,0,59,133430,Não
36,100000,15,-1,0,63,133342,Não
37,100000,15,-1,0,59,133085,Não
38,100000,15,-1,0,65,133179,Não
39,100000,15,-1,0,59,132688,Não
40,100000,15,-1,0,60,133460,Não
41,500000,8,76661,0,43,102560,Sim
42,500000,8,112306,0,69,149479,Sim
43,500000,8,100921,0,61,134675,Sim
44,500000,8,8927,0,06,11841,Sim
45,500000,8,94857,0,57,126412,Sim
46,500000,8,274411,1,64,365705,Sim
47,500000,8,18503,0,12,24669,Sim
48,500000,8,10231,0,06,13593,Sim
49,500000,8,50622,0,28,67225,Sim
50,500000,8,208055,1,30,277653,Sim
51,500000,10,-1,2,89,667089,Não
52,500000,10,-1,2,91,667020,Não
53,500000,10,-1,2,87,667382,Não
54,500000,10,-1,3,21,666013,Não
55,500000,10,-1,3,02,666398,Não
56,500000,10,274411,1,85,365707,Sim
57,500000,10,379777,2,29,506105,Sim
58,500000,10,-1,2,86,666188,Não
59,500000,10,-1,2,90,665664,Não
60,500000,10,-1,3,00,666800,Não
61,500000,12,-1,2,73,667087,Não
62,500000,12,-1,2,87,667014,Não
63,500000,12,-1,2,88,667380,Não
64,500000,12,-1,3,15,666011,Não
65,500000,12,-1,3,01,666396,Não
66,500000,12,274411,1,74,365709,Sim
67,500000,12,-1,2,99,666200,Não
68,500000,12,-1,2,77,666186,Não
69,500000,12,-1,2,71,665661,Não
70,500000,12,-1,3,19,666798,Não
71,500000,15,-1,2,80,667084,Não
72,500000,15,-1,2,93,667008,Não
73,500000,15,-1,2,77,667375,Não
